Items,PurQTY,PurVALUE,SalesQTY,SalesVALUE,ClosQTY,CloVALUE,M.EXP,OpenQTY,OpenVALUE,RecQTY,RecVALUE,SalesDate
ABICLAV-LB 625MG TAB 10S,2691,202766.85,2458,374137,233,17556.55,24-Apr,241,18159.35,2450,184607.5,2022-12-01
ABICOLD PLUS SYP 60ML,610,9058.5,474,18015.45,136,2019.6,24-Nov,60,891,550,8167.5,2023-03-21
ABICOLD TAB 10S,0,0,0,42,0,0,0,0,0,0,0,2022-06-20
ABICOLD-DMR SYP 100ML,3180,55968,2891,107470.69,289,5086.4,24-Jul,580,10208,2600,45760,2022-07-01
ABICORT-6 TAB 10S,2200,36300,1199,66611.3,1001,16516.5,24-Dec,0,0,2200,36300,2022-05-18
ABINAC GEL 30GM,1652,29983.8,1456,78952.44,196,3557.4,24-Jun,188,3412.2,1464,26571.6,2023-04-25
ABINAC-P TAB 10S,191,840.4,191,1391.68,0,0,0,91,400.4,100,440,2022-02-16
ABIOF-200 TAB 10S,205,2593.25,98,3227.5,107,1353.55,23-Aug,105,1328.25,100,1265,2022-11-02
ABIOF-M SUP 30ML,55,847,37,1866.3,18,277.2,23-Sep,0,0,55,847,2023-09-23
ABIOF-OZ TAB 10S,1738,38236,1525,81322.25,213,4686,24-May,227,4994,1511,33242,2023-07-20
ABIPAN TAB 10S,90,841.5,90,3375,0,0,0,90,841.5,0,0,2022-07-07
ABIPAN-DM TAB 10S,1329,16080.9,1152,59902.5,177,2141.7,24-Feb,128,1548.8,1201,14532.1,2022-11-23
ABIPAN-DSR CAP 10S,208,3432,65,2868.75,143,2359.5,23-Jun,94,1551,114,1881,2023-11-26
ABIPLEX DROPS 15ML,1207,17260.1,1001,51194.98,206,2945.8,23-Jun,195,2788.5,1012,14471.6,2023-11-23
ABIPLEX-FORTE TAB 10S,837,19795.05,639,53222.47,198,4682.7,23-Jul,173,4091.45,664,15703.6,2023-09-26
ABIPLEX-Z SYP 200ML,2193,62719.8,1929,129286.72,264,7550.4,23-Aug,178,5090.8,2015,57629,2023-01-20
ABIPRO POWDER 200GM,719,34799.6,637,91919.6,82,3968.8,24-Jan,63,3049.2,656,31750.4,2022-03-21
ABITRALKA SYP 100ML,303,4999.5,303,10387.57,0,0,0,175,2887.5,128,2112,2023-02-20
ABITROX-1000 INJ 1S,72,1504.8,70,3163.3,2,41.8,23-Jun,72,1504.8,0,0,2022-11-15
ABITROX-SL INJ 1500MG,402,12602.7,302,15216.75,100,3135,24-Aug,117,3667.95,285,8934.75,2022-04-08
ABIXIM 50 SYP 30ML,1851,40222.23,1452,48143.63,399,8670.27,24-Feb,271,5888.83,1580,34333.4,2023-05-29
ABIXIM-200LB TAB 10S,441,20859.3,397,31378,44,2081.2,24-Nov,141,6669.3,300,14190,2023-02-17
ABIXIM-50 SUSPENSION 30ML,10,217.3,10,282.5,0,0,0,0,0,10,217.3,2023-12-05
ABIXIM-OF TAB 10S,937,60123.54,526,62012.5,411,26372.23,24-Jun,154,9881.56,783,50241.98,2023-03-01
ABMIN LOTION 100ML,800,30800,731,68574.75,69,2656.5,24-Aug,200,7700,600,23100,2023-09-29
ABONEX TAB ZEE 10S,386,8492,275,21478.25,111,2442,23-Sep,133,2926,253,5566,2023-04-25
ABORTAB 200MG TAB 1S,410,58524.72,290,24440.2,120,33127.2,24-Nov,140,38648.4,270,19876.32,2022-04-29
ABSENZ SYRUP 100ML,32,10856.96,32,13339.29,0,0,0,0,0,32,10856.96,2023-02-22
ABSOVELDA-50TAB(AL) 15S,466,13514,436,14001.28,30,870,24-Feb,26,754,440,12760,2022-04-19
ABZINE SYP 30ML,407,4029.3,362,10172.25,45,445.5,23-Sep,55,544.5,352,3484.8,2023-12-23
ABZINE-5MG TAB 10S,200,770,200,1100,0,0,0,200,770,0,0,2022-05-09
ACAMPTAS 333 TAB 6S,15,1039.35,15,1299.11,0,0,0,0,0,15,1039.35,2023-05-11
ACCECLOWOC TAB 10S,260,1274,166,1948.28,94,460.6,23-Aug,40,196,220,1078,2022-11-05
ACCECLOWOC-MR TAB A/A 10S,720,10440,698,13768.1,22,319,24-Apr,0,0,720,10440,2023-05-20
ACCECLOWOC-P TAB 10S,3799,25643.25,3774,32664.84,25,168.75,24-Jun,49,330.75,3750,25312.5,2022-10-02
ACCECLOWOC-SP A/ATAB 10S,1096,16440,942,18377.59,154,2310,24-Jun,196,2940,900,13500,2023-01-18
ACCECLOWOC-SR 10S,81,1073.25,57,989.75,24,318,24-Jun,81,1073.25,0,0,2022-12-27
ACCIMPAK-333 TAB 6S,109,3008.4,109,7010.5,0,0,0,9,248.4,100,2760,2023-10-17
ACECOFINE-100 TAB 10S,1000,4800,800,8550,200,960,24-Aug,0,0,1000,4800,2022-01-10
ACEMED-P TAB 10S,640,6336,532,17985,108,1069.2,24-Jun,190,1881,450,4455,2022-06-07
ACENEX FORTE TAB 10S,1025,14093.75,856,18896.95,169,2323.75,24-Dec,355,4881.25,670,9212.5,2022-03-11
ACENEX GEL 30GM,2218,41476.6,1944,101964.1,274,5123.8,24-Feb,218,4076.6,2000,37400,2022-04-24
ACENEX PLUS SUP 60ML,858,12269.4,645,13645.5,213,3045.9,25-Mar,157,2245.1,701,10024.3,2023-01-28
ACENEX PLUS TAB ZEE 10S,2502,22017.6,2334,46452.3,168,1478.4,25-Nov,131,1152.8,2371,20864.8,2023-12-24
ACENEX-SR PLUS 10S,922,15213,851,34129.35,71,1171.5,25-Jun,122,2013,800,13200,2023-12-16
ACENEX-TH TAB 10S,100,4400,26,1761.25,74,3256,25-Jul,0,0,100,4400,2023-06-13
ACEPTIK HC 1S,7,1925,7,2268,0,0,0,0,0,7,1925,2023-01-03
ACETHAMA-200 SR TAB 10S,1050,18375,1022,20261.5,28,490,24-Jan,0,0,1050,18375,2022-09-09
ACETONE 1*500ML,1,298,0,0,1,298,0,1,298,0,0,2022-07-09
ACETREX-250 TAB 10S,200,2420,199,3431.13,1,12.1,24-Jul,0,0,200,2420,2022-07-08
ACETWIT COLD&FLU TAB (AL) 10S,3076,34143.6,2552,54474.58,524,5816.4,24-Aug,3076,34143.6,0,0,2022-02-17
ACETWIT MR A/A TAB 10S,2452,27585,2337,48680.66,115,1293.75,23-Aug,1202,13522.5,1250,14062.5,2022-01-14
ACETWIT P SYP(ORANGE) 60ML,200,2380,88,1362.65,112,1332.8,23-Sep,200,2380,0,0,2022-07-13
ACETWIT P TAB (AL) 10S,1491,11182.5,802,12216.21,689,5167.5,24-May,1,7.5,1490,11175,2022-04-01
ACETWIT P TAB (BL) 10S,6,43.2,6,178.45,0,0,0,6,43.2,0,0,2022-08-22
ACETWIT PLUS TAB(BL) 10S,5036,32633.28,4697,64588,339,2196.72,23-Sep,3138,20334.24,1898,12299.04,2023-04-24
ACETWIT RAB CAP(AL) 10S,530,3710,530,0,0,0,0,0,0,530,3710,2022-05-26
ACETWIT SP FORTE TAB(AL) 10S,1080,14310,1003,17304.9,77,1020.25,24-Apr,580,7685,500,6625,2023-06-24
ACETWIT SP TAB (AL) 10S,3559,40038.75,3136,59606.82,423,4758.75,24-May,499,5613.75,3060,34425,2023-11-24
ACETWIT SR TAB(AL) 10S,328,4050.8,163,2074.9,165,2037.75,24-Jan,128,1580.8,200,2470,2022-10-01
ACETWIT TH4-TAB 10S,439,6585,439,17312.7,0,0,0,64,960,375,5625,2023-12-01
ACETWIT TP4 TAB 10S,120,5760,94,5868.4,26,1248,23-Jul,50,2400,70,3360,2023-07-25
ACFEX FACE WASH 60GM,279,6138,97,8456.4,182,4004,23-Aug,278,6116,1,22,2023-08-14
ACFEX SOAP. 1S,1693,40970.6,1569,125475.19,124,3000.8,23-Sep,195,4719,1498,36251.6,2023-07-22
ACICLOREX 400MG TAB 10S,20,775,20,1157.8,0,0,0,0,0,20,775,2022-03-08
ACICLOVIR-400 TAB 5S,52,702,52,951.45,0,0,0,0,0,52,702,2022-04-22
ACICURE MPS 170ML,86,1926.4,86,3026.06,0,0,0,79,1769.6,7,156.8,2023-09-30
ACICURE SUSP 200ML,425,11215.05,395,16015.07,30,873.9,25-Jul,29,844.77,396,10370.28,2022-09-21
ACIDOSE DS TAB 15S,4,242.72,4,244,0,0,0,0,0,4,242.72,2023-03-25
ACILEX-MR TAB 10S,152,2591.6,111,4275,41,699.05,23-Sep,107,1824.35,45,767.25,2022-05-23
ACILEX-P TAB 10S,717,7492.65,519,16217,198,2069.1,24-Sep,81,846.45,636,6646.2,2022-01-26
ACILEX-SP TAB 10S,1174,21953.8,1046,60342,128,2393.6,23-Apr,508,9499.6,666,12454.2,2022-02-14
ACILEX-SR TAB 10S,5448,65920.8,5002,129623.83,446,5396.6,24-Mar,568,6872.8,4880,59048,2023-09-02
ACILEX-V TAB 10S,160,2992,10,262,150,2805,24-Jun,0,0,160,2992,2022-05-03
ACIMAP 200MG TAB 10S,20,314,12,656,8,125.6,23-Jul,0,0,20,314,2023-04-23
ACIMAP 5% CREAM 5GM,25,287.5,23,273.85,2,23,23-Jul,0,0,25,287.5,2022-11-22
ACIMAP-400MG TAB 5S,20,356,20,377.86,0,0,0,0,0,20,356,2022-12-23
ACIMAP-800MG TAB 5S,20,545,20,1815,0,0,0,0,0,20,545,2023-11-29
ACIMDAY-250 TAB 10S,11,165,10,173.39,1,15,23-Jul,10,150,1,15,2022-07-21
ACITROM-2 TAB 30S,24,7818.96,23,7617.98,1,325.79,24-Nov,1,325.79,23,7493.17,2022-12-05
ACNE OUT SOAP 75GM,2295,54919.35,2114,200234.14,181,4331.33,24-Aug,217,5192.81,2078,49726.54,2023-01-09
ACNEBAR SOAP 1*75GM,1667,25671.8,749,40128.83,918,14137.2,23-Sep,1672,25748.8,-5,-77,2023-10-22
ACNOMORE SOAP75 GM 75GM,12,343.2,0,0,12,343.2,23-Jun,12,343.2,0,0,2023-11-01
ACTICIN INJ-2ML 2ML,600,2100,600,3069.82,0,0,0,0,0,600,2100,2023-02-21
ACTICORT-20MG TAB 10S,160,1606.4,147,2081.5,13,130.52,24-Apr,0,0,160,1606.4,2022-03-04
ACTPRO TAB 15S,1,170.71,1,171,0,0,0,0,0,1,170.71,2022-05-09
ADDZYME SYP 200ML,324,8553.6,266,16819.96,58,1531.2,24-Apr,78,2059.2,246,6494.4,2022-07-15
ADESAM 200MG TAB 10S,12,7234.2,12,4446.43,0,0,0,0,0,12,7234.2,2022-04-05
ADESAM 400 TAB 10S,43,24540.53,43,30836.61,0,0,0,5,2853.55,38,21686.98,2023-06-29
ADMENTA 5 TAB 10S,0,0,0,0,0,0,0,0,0,0,0,2022-05-14
ADNALIN INJ 1ML,222,666,0,0,222,666,23-Dec,0,0,222,666,2022-06-28
ADNEON 3MG 2ML 2ML,217,23436,132,19188.82,85,9180,23-Sep,37,3996,180,19440,2022-01-11
ADRENALINE BI-TARTRATE INJ 1ML,8584,55490.5,7328,65353.01,1256,8164,23-Jul,4531,29451.5,4053,26039,2022-08-18
ADRENALINE TARTATE INJ 1ML,825,4950,588,4404.88,237,1422,23-Jul,25,150,800,4800,2022-12-01
ADVENT JJ55B 1S,2,4736,2,0,0,0,0,0,0,2,4736,2023-05-13
AERO MIST ADULT 1S,50,2100,50,4500,0,0,0,0,0,50,2100,2022-06-10
AERO MIST CHILD 1S,50,2100,50,3750,0,0,0,0,0,50,2100,2022-07-26
AEROCORT ROTACAPS 60S,3,222.78,3,279,0,0,0,0,0,3,222.78,2022-09-27
AEROSPIN (DEVICE) 1S,1,214.29,1,214.29,0,0,0,0,0,1,214.29,2022-04-19
AGDEX INJ 30ML,300,4350,295,5816,5,72.5,24-Aug,0,0,300,4350,2023-05-22
AIRZ 50MCG CAP 15S,1,383.57,1,383.57,0,0,0,0,0,1,383.57,2023-01-14
AKNIX FACE WASH 60GM,104,2288,67,3152.9,37,814,25-Feb,24,528,80,1760,2022-12-23
AKNIX SOAP ZEE 75GM,3585,86757,3185,220564.08,400,9680,23-Jul,581,14060.2,3004,72696.8,2023-10-20
AKU-BIOTIC CAP 10S,654,12099,584,17186.25,70,1295,24-Aug,34,629,620,11470,2023-10-11
AKUMENIC PLUS SYP 60ML,345,3450,261,2939.62,84,840,24-May,45,450,300,3000,2023-03-25
AKUMENIC SPAS TAB(BL) 10S,1804,11951.5,550,7327.46,1254,8307.75,23-Jul,4,26.5,1800,11925,2022-07-29
AKUMENIC-DR TAB(BL) 10S,187,2767.6,110,1806.15,77,1139.6,24-Jun,87,1287.6,100,1480,2023-12-03
AKUMENIC-FORTE SYP 60ML,893,10939.25,849,12488.26,44,539,24-May,172,2107,721,8832.25,2022-03-03
AKUSULIDE COLD&FLU TAB(BL) 10S,300,2239.8,155,1379.15,145,1082.57,23-Sep,300,2239.8,0,0,2022-10-15
AKUSULIDE PLUS TAB(BL) 10S,1174,6457,1016,8643.47,158,869,23-Jul,1002,5511,172,946,2023-10-19
AKUZOLID TAB 10S,23,2065.4,23,2172.7,0,0,0,23,2065.4,0,0,2022-03-05
AKUZOLID TAB(AL) 10S,157,14098.6,133,7054,24,2155.2,24-May,87,7812.6,70,6286,2023-02-28
ALBISTI SUSP 10ML,514,2570,514,4950.17,0,0,0,94,470,420,2100,2022-07-02
ALBISTI-400 TAB 10S,60,1440,51,1648,9,216,24-Jul,10,240,50,1200,2022-01-21
ALBUCEL 20% INJ 100ML,21,70770,21,91482.52,0,0,0,11,37070,10,33700,2023-09-04
ALBUMIN INFUSION-20% 100ML,5,18750,5,23000,0,0,0,0,0,5,18750,2023-08-18
ALBUREL 20% INJ 100ML,11,43312.5,6,34755,5,19687.5,25-Jun,0,0,11,43312.5,2023-11-18
ALBUS SUSP RHO 10ML,286,1887.6,155,1718.1,131,864.6,24-Aug,66,435.6,220,1452,2022-06-21
ALCATOP DROPS 5ML,15,1783.95,0,0,15,1783.95,23-Aug,15,1783.95,0,0,2022-04-07
ALDACTONE 100 TAB 15S,13,1959.75,13,1910.77,0,0,0,0,0,13,1959.75,2022-05-05
ALDACTONE-25MG TAB 15S,21,530.25,21,662.75,0,0,0,0,0,21,530.25,2023-07-26
ALDACTONE-50 TAB 15S,3,151.29,3,189.11,0,0,0,0,0,3,151.29,2023-01-05
ALDOSTIX TAB 10S,14,320.04,14,400,0,0,0,0,0,14,320.04,2023-06-08
ALENDATE 70MG TAB 4S,2,48,0,0,2,48,24-Jul,0,0,2,48,2023-03-09
ALEXT AM SYP 60ML,2483,40969.5,2471,94112.79,12,198,24-Aug,283,4669.5,2200,36300,2023-03-09
ALEXT TAB ZEE 10S,6953,19120.75,6646,115519.9,307,844.25,25-Jul,353,970.75,6600,18150,2023-02-24
ALEXT-AM TAB 10S,300,4950,60,1550.4,240,3960,24-May,0,0,300,4950,2022-05-28
ALFA-CALDICARE CAP 10S,190,1235,190,1691,0,0,0,0,0,190,1235,2022-10-08
ALFUCEED-D TAB 10S,23,683.1,23,750.25,0,0,0,23,683.1,0,0,2022-10-05
ALFUZOSIN-10 TAB 10S,120,1500,120,1944,0,0,0,0,0,120,1500,2023-05-09
ALIVHER T10 TAB 10S,5,767.85,5,959.82,0,0,0,0,0,5,767.85,2023-11-26
ALKAMAX SYP 200ML,600,10230,495,15853.66,105,1790.25,24-Apr,0,0,600,10230,2022-08-04
ALKARUM SUPS 100ML,922,14060.5,867,20991.28,55,838.75,24-Apr,322,4910.5,600,9150,2022-02-20
ALKATIS SYP 100ML,245,4490.85,231,5502.45,14,256.62,24-Jun,20,366.6,225,4124.25,2023-12-04
ALKIROM SYP RHO 100ML,2638,60937.8,2342,112553.24,296,6837.6,24-Aug,99,2286.9,2539,58650.9,2023-07-21
ALKOF COFGELS CAP NEW 10S,418,7106,411,9795.24,7,119,24-Sep,100,1700,318,5406,2022-06-20
ALKOF COFGELS CAPS 10S,500,8500,406,10110.4,94,1598,24-Sep,40,680,460,7820,2023-10-21
ALKOF+ SYRUP(GENC) 60ML,385,4315.85,312,4698.81,73,818.33,24-Apr,91,1020.11,294,3295.74,2023-10-03
ALKOF-DX SYP 100ML,170,3799.5,141,3815.97,29,648.15,24-Aug,26,581.1,144,3218.4,2023-07-07
ALMOND HONEY BODY LOTION 400ML,87,11788.5,66,9819.6,21,2845.5,25-Jun,15,2032.5,72,9756,2023-09-19
ALNET 400 TAB ZEE 1S,3499,9622.25,2944,11889.99,555,1526.25,25-Jan,499,1372.25,3000,8250,2023-07-01
ALNET SUP ZEE 10ML,508,3352.8,492,4758.72,16,105.6,24-May,233,1537.8,275,1815,2022-03-21
ALOEVERA GEL 100G,74,4388.2,53,3553.75,21,1245.3,25-Apr,20,1186,54,3202.2,2022-07-17
ALPAZ-0.5 TAB 10S,2124,8177.4,1797,15294.72,327,1258.95,25-Sep,464,1786.4,1660,6391,2022-02-04
ALPHA-KETOZOX TAB 10S,850,36125,770,43952.2,80,3400,24-Apr,0,0,850,36125,2023-11-17
ALPHAGAN DROP 5ML,5,1536.55,5,1920.71,0,0,0,0,0,5,1536.55,2023-01-03
ALPRAX-0.25MG TAB 15S,4,82.84,4,103.57,0,0,0,0,0,4,82.84,2023-03-24
ALPROTIC CR-200 10S,100,1870,80,2549.6,20,374,24-Aug,80,1496,20,374,2022-04-20
ALPROTIC CR-500MG TAB 10S,1051,28902.5,1041,64919.6,10,275,23-Jul,21,577.5,1030,28325,2022-03-25
ALTRADAY CAPS 10S,0,0,0,0,0,0,0,0,0,0,0,2023-02-22
ALVEO TIO-9 INHA 1S.,20,2900,20,3080,0,0,0,0,0,20,2900,2022-01-07
ALVEOBEC-LV INHALER 1S,20,2060,20,2300,0,0,0,0,0,20,2060,2022-08-04
ALVEOBEC-S INHALER 1S,80,8240,75,8625,5,515,24-Nov,0,0,80,8240,2023-12-16
ALVEOSAL FORTE A.C 30S,120,4788,120,5040,0,0,0,0,0,120,4788,2022-09-24
ALVEOSAL FORTE INH 200 MD,380,52440,380,57700,0,0,0,0,0,380,52440,2022-12-13
ALVEOSAL INHALER-100MCG 1S,70,5380.9,70,6020,0,0,0,0,0,70,5380.9,2023-01-03
ALVEOSAL-100MG ROTACAPS 30S,50,1860,50,1860,0,0,0,0,0,50,1860,2023-05-21
ALZIL M 10MG TAB 10S,21,3794.91,21,4743.75,0,0,0,0,0,21,3794.91,2022-10-12
ALZIL-10MG TAB 10S,0,0,0,0,0,0,0,0,0,0,0,2022-03-20
ALZO-4.5GM INJ 4.5GM,500,30000,17,4021.35,483,28980,24-Dec,0,0,500,30000,2023-05-10
AMAZON COUPONS SEARLE 2021-22,574,0,56,0,518,0,0,574,0,0,0,2022-12-20
AMBITER 100ML SYP 100ML,527,10318.66,369,18771.7,158,3093.64,24-Feb,283,5541.14,244,4777.52,2022-04-15
AMBRODIL SYP 100ML,5,248.05,5,310.05,0,0,0,0,0,5,248.05,2023-12-03
AMBROLINCTUS SYP 100ML,128,3315.2,67,2164.3,61,1579.9,23-Jun,70,1813,58,1502.2,2022-06-07
AMBROSIN-T SYP 100ML,462,10164,399,20929.89,63,1386,23-Sep,220,4840,242,5324,2022-11-20
AMCISTER INJ 1ML,20,1188,10,713,10,594,24-Apr,0,0,20,1188,2022-11-23
AMDICLOX-LB 10S,1341,40793.22,1313,47576,28,851.76,24-May,101,3072.42,1240,37720.8,2023-10-08
AMEDRON-200 TAB 10S,30,990,30,1275,0,0,0,0,0,30,990,2023-04-09
AMIFRU-40MG TAB 10S,5,36.6,5,45.75,0,0,0,0,0,5,36.6,2022-03-24
AMIKAWEL-100 INJ 1 ML,360,3330,209,3680.7,151,1396.75,23-Apr,70,647.5,290,2682.5,2023-11-17
AMIKAWEL-250 INJ 2ML,1587,21503.85,1362,16732,225,3048.75,23-May,27,365.85,1560,21138,2023-06-03
AMIKAWEL-500MG INJ 2ML,3568,62230,3357,92663.91,211,3692.5,24-May,672,11760,2896,50470,2022-09-28
AMINOFY-10ML INJ 5S,9,236.25,0,0,9,236.25,24-May,9,236.25,0,0,2022-08-30
AMINOPHYLLINE INJ 10ML,1307,7515.25,1275,8430.74,32,184,24-Aug,107,615.25,1200,6900,2023-02-15
AMINOWELL 5% 250ML,25,3875,25,4133.33,0,0,0,0,0,25,3875,2022-02-08
AMIODON-50MG INJ 3ML,437,11405.7,246,9143.26,191,4985.1,24-Sep,44,1148.4,393,10257.3,2022-10-18
AMIPORT-200 TAB 10S,70,2940,70,3910,0,0,0,0,0,70,2940,2022-03-28
AMITOCARE-25 TAB 10S,20,100,10,62.5,10,50,24-May,20,100,0,0,2023-12-08
AMLIP 5MG TAB 10S,685,4247,638,5712.09,47,291.4,25-Jun,80,496,605,3751,2023-04-12
AMLIP-10MG TAB 10S,180,1505,145,2023.74,35,301,24-May,-20,-172,200,1677,2022-08-19
AMLIP-2.5 10S,164,738,108,593.5,56,252,24-Jan,64,288,100,450,2023-10-31
AMLIP-AT TAB 10S,502,4292.1,444,4585.65,58,495.9,24-May,202,1727.1,300,2565,2022-04-14
AMLODOSE-2.5 TAB 10S,3240,4536,3221,5480.82,19,26.6,24-Sep,0,0,3240,4536,2022-03-05
AMLODOSE-5 TAB 10S,8000,12000,7020,14675,980,1470,24-Dec,0,0,8000,12000,2022-10-31
AMLOGLYC-5MG TAB 10S,3600,5698.8,3293,6765.01,307,485.98,23-Sep,0,0,3600,5698.8,2023-05-11
AMLOGLYC-AT TAB(AL-ST) 14S,732,4318.8,732,13069.25,0,0,0,637,3758.3,95,560.5,2023-02-25
AMLOKIND-5MG TAB 15S,6,85.74,6,85.8,0,0,0,0,0,6,85.74,2023-06-10
AMLOKIND-AT 15S,52,1596.5,52,1613.66,0,0,0,0,0,52,1596.5,2023-12-26
AMLONG 5MG TAB 30S,2,138.72,2,140,0,0,0,0,0,2,138.72,2022-01-29
AMLONG MT 25MG TAB 7S,17,789.31,17,986.68,0,0,0,0,0,17,789.31,2023-01-29
AMLONG-5MG TAB 15S,10,346.8,10,339.39,0,0,0,0,0,10,346.8,2023-11-15
AMLOTIS-AT 14S,828,5531.04,531,9867.4,297,1983.96,24-Mar,67,447.56,761,5083.48,2022-06-01
AMLOTOZ AT TAB 15S,1144,11325.6,1069,42043.83,75,742.5,23-Sep,293,2900.7,851,8424.9,2023-07-25
